0 1 49
1 1 45
2 1 55
3 1 47
4 1 42
5 1 41
6 1 44
7 1 40
8 1 40
9 1 41
10 1 41
11 1 44
12 1 41
13 1 38
14 1 45
15 1 42
16 1 45
17 1 43
18 1 47
19 1 45
20 1 41
21 1 42
22 1 38
23 1 37
24 1 22
25 1 41
26 1 36
27 1 38
28 1 38
29 1 40
30 1 37
31 1 43
32 1 37
33 1 40
34 1 38
35 1 41
36 1 35
37 1 39
38 1 39
39 1 40
40 1 37
41 1 38
42 1 36
43 1 40
44 1 38
45 1 43
46 1 38
47 1 43
48 1 33
49 1 35
50 1 38
51 1 37
52 1 38
53 1 39
54 1 33
55 1 36
56 1 46
57 1 40
58 1 36
59 1 20
60 1 40
61 1 39
62 1 49
63 1 45
64 1 45
65 1 40
66 1 44
67 1 34
68 1 34
69 1 38
70 1 40
71 1 33
72 1 39
73 1 37
74 1 36
75 1 43
76 1 38
77 1 40
78 1 41
79 1 40
80 1 42
81 1 37
82 1 38
83 1 39
84 1 40
85 1 40
86 1 37
87 1 45
88 1 35
89 1 36
90 1 34
91 1 34
92 1 38
93 1 33
94 1 43
95 1 32
96 1 39
97 1 36
98 1 35
99 1 40
100 1 34
101 1 38
102 1 21
103 1 33
104 1 36
105 1 37
106 1 36
107 1 33
108 1 39
109 1 34
110 1 31
111 1 38
112 1 39
113 1 36
114 1 37
115 1 40
116 1 35
117 1 33
118 1 35
119 1 34
120 1 44
121 1 32
122 1 16
123 1 40
124 1 42
125 1 32
126 1 31
127 1 36
128 1 35
129 1 35
130 1 33
131 1 31
132 1 41
133 1 33
134 1 31
135 1 41
136 1 38
137 1 35
138 1 39
139 1 31
140 1 33
141 1 35
142 1 37
143 1 29
144 1 24
145 1 20
146 1 32
147 1 29
148 1 39
149 1 30
150 1 32
151 1 39
152 1 35
153 1 33
154 1 29
155 1 34
156 1 30
157 1 35
158 1 36
159 1 26
160 1 31
161 1 34
162 1 27
163 1 31
164 1 25
165 1 34
166 1 27
167 1 38
168 1 39
169 1 41
170 1 22
171 1 38
172 1 40
173 1 35
174 1 18
175 1 23
176 1 17
177 1 19
178 1 37
179 1 34
180 1 38
181 1 34
